antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.01248847926267281,0.033778801843317975,0.011105990783410138,0.88929889298893,26.32712957416068,1.0,0.010684144917071928,8.728198156682032,0.9741824250651916,0.31585845347313235,0.8854288156560204,0.6090423523607678
"['ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.02078341013824885,0.033778801843317975,0.018294930875576036,0.8802660753880266,26.05971873931811,1.0,0.01759289218288772,8.069736303123399,0.9820366713360225,0.5044472681067343,0.876080213474516,0.710937949017342
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.012626728110599079,0.038525345622119817,0.011105990783410138,0.8795620437956204,22.83073726120211,1.0,0.010619541718872774,7.983153190895125,0.9684274699409295,0.27733026467203686,0.8747362131118176,0.5839197778786714
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.014700460829493087,0.033778801843317975,0.012626728110599079,0.8589341692789969,25.428201191479168,1.0,0.012130164157234174,6.849434715821815,0.9750066315102739,0.352185089974293,0.8540025503579068,0.616370222429403
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.014700460829493087,0.038525345622119817,0.01248847926267281,0.8495297805642633,22.051191672541282,1.0,0.011922138928412155,6.389800307219661,0.9688941676844858,0.3065610859728507,0.8435005865723022,0.5868462299950503
['REGENCY TEA PLATE GREEN '],['REGENCY TEA PLATE ROSES '],0.012672811059907835,0.01566820276497696,0.010691244239631336,0.8436363636363636,53.84385026737968,1.0,0.010492684066342458,6.295145214875147,0.9940248662133344,0.6057441253263707,0.8411474293496766,0.7629946524064171
"['PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.021705069124423965,0.038525345622119817,0.018294930875576036,0.8428874734607218,21.878777720212515,1.0,0.0174587355858056,6.119656246107856,0.9754661681960884,0.4362637362637362,0.8365921287431779,0.6588839281179206
['SET/6 RED SPOTTY PAPER CUPS'],['SET/6 RED SPOTTY PAPER PLATES'],0.013133640552995391,0.014976958525345621,0.01087557603686636,0.8280701754385966,55.28960863697707,1.0,0.010678874047017351,5.729215649393402,0.994981143424734,0.6310160427807487,0.8254560377552068,0.7771120107962215
"['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.017649769585253456,0.038525345622119817,0.014562211981566821,0.825065274151436,21.416168001299237,1.0,0.013882248508144153,5.496190934727285,0.9704342466314696,0.3499446290143965,0.8180558114017524,0.6015278523867228
['WOODEN TREE CHRISTMAS SCANDINAVIAN'],['WOODEN STAR CHRISTMAS SCANDINAVIAN'],0.012764976958525345,0.020092165898617512,0.010460829493087558,0.8194945848375452,40.78677176829067,1.0,0.010204353458344837,5.428689400921662,0.9880952601273981,0.4670781893004116,0.8157934768140863,0.6700683933362038
"[""POPPY'S PLAYHOUSE BEDROOM ""]","[""POPPY'S PLAYHOUSE KITCHEN""]",0.014700460829493087,0.01608294930875576,0.011751152073732719,0.799373040752351,49.7031374909055,1.0,0.011514725307396632,4.904211549539169,0.9945001563601915,0.6174334140435835,0.7960936248571973,0.7650160332701583
['PINK REGENCY TEACUP AND SAUCER'],['GREEN REGENCY TEACUP AND SAUCER'],0.027235023041474654,0.033778801843317975,0.021705069124423965,0.7969543147208122,23.593326916018587,1.0,0.020785102677907792,4.758639400921661,0.9844259987514004,0.552168815943728,0.7898558987667108,0.7197595584518113
"['JUMBO BAG PINK POLKADOT', 'JUMBO BAG STRAWBERRY']",['JUMBO BAG RED RETROSPOT'],0.013548387096774193,0.07571428571428572,0.010737327188940092,0.7925170068027211,10.467205750224617,1.0,0.009711520737327188,4.454754098360655,0.9168858436465809,0.1367370892018779,0.7755207183337013,0.4671653810641725
"['JUMBO BAG PINK POLKADOT', 'JUMBO STORAGE BAG SUKI']",['JUMBO BAG RED RETROSPOT'],0.013087557603686637,0.07571428571428572,0.010276497695852534,0.7852112676056338,10.370714855168748,1.0,0.009285582620144832,4.303231850117095,0.9155570371090054,0.13086854460093894,0.7676165182750287,0.4604692978320317
['SMALL MARSHMALLOWS PINK BOWL'],['SMALL DOLLY MIX DESIGN ORANGE BOWL'],0.013317972350230415,0.016682027649769584,0.010414746543778802,0.7820069204152249,46.87721042268061,1.0,0.010192575760793392,4.51077609538439,0.9918774693183514,0.531764705882353,0.7783086593406309,0.7031581563402092
"['ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE GREEN']",['ALARM CLOCK BAKELIKE RED '],0.015852534562211983,0.041797235023041474,0.012350230414746545,0.7790697674418604,18.639265659854875,1.0,0.011687638301938882,4.337128304632548,0.961593512117256,0.2726347914547304,0.7694326914581047,0.5372746852644804
['PINK REGENCY TEACUP AND SAUCER'],['ROSES REGENCY TEACUP AND SAUCER '],0.027235023041474654,0.038525345622119817,0.02078341013824885,0.7631133671742809,19.808086205361118,1.0,0.01973417146254964,4.058796576695195,0.976099663881664,0.4620901639344262,0.7536215523237105,0.6512935256924036
"['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER']",['PINK REGENCY TEACUP AND SAUCER'],0.014562211981566821,0.027235023041474654,0.011105990783410138,0.7626582278481012,28.00284863672385,1.0,0.010709388604557328,4.098583102918586,0.9785390403186622,0.36186186186186187,0.7560132428965748,0.5852208228919017
['GREEN REGENCY TEACUP AND SAUCER'],['ROSES REGENCY TEACUP AND SAUCER '],0.033778801843317975,0.038525345622119817,0.025668202764976958,0.7598908594815824,19.724439773624805,1.0,0.024366862749262034,4.0043234185169645,0.98248876857786,0.5503952569169961,0.7502699219109633,0.7130794010326572
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER']","['ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER']",0.014700460829493087,0.025668202764976958,0.011105990783410138,0.755485893416928,29.432753836889294,1.0,0.010728656374100108,3.9847672220252877,0.9804371236648817,0.3795275590551182,0.7490443119305367,0.5940804691501157
"['LUNCH BAG WOODLAND', 'LUNCH BAG PINK POLKADOT']",['LUNCH BAG RED RETROSPOT'],0.014884792626728111,0.061244239631336406,0.011059907834101382,0.7430340557275541,12.132309262067663,1.0,0.010148300027607297,3.6532302481816656,0.9314397483276419,0.16997167138810199,0.7262696484849994,0.461810481588382
['TOILET METAL SIGN'],['BATHROOM METAL SIGN'],0.014147465437788019,0.017880184331797236,0.010460829493087558,0.739413680781759,41.353806373618994,1.0,0.010207870203232178,3.7688847926267277,0.9898219002428026,0.48504273504273504,0.7346695229431386,0.6622326135867558
['WOODEN STAR CHRISTMAS SCANDINAVIAN'],['WOODEN HEART CHRISTMAS SCANDINAVIAN'],0.020092165898617512,0.02142857142857143,0.014746543778801843,0.7339449541284403,34.25076452599388,1.0,0.01431599736668861,3.678078817733989,0.9907090622648608,0.5507745266781411,0.7281189312261434,0.7110584985695965
['CANDLEHOLDER PINK HANGING HEART'],['WHITE HANGING HEART T-LIGHT HOLDER'],0.016036866359447004,0.09276497695852534,0.011751152073732719,0.7327586206896552,7.89908696918307,1.0,0.010263492535411667,3.3948149249293897,0.887638022612567,0.12108262108262108,0.7054331319635048,0.4297176113880467
"['REGENCY CAKESTAND 3 TIER', 'ROSES REGENCY TEACUP AND SAUCER ']",['GREEN REGENCY TEACUP AND SAUCER'],0.01990783410138249,0.033778801843317975,0.014562211981566821,0.7314814814814815,21.655045222575918,1.0,0.013889749198326574,3.5983410138248852,0.9731956014027136,0.37220259128386335,0.7220941550125506,0.5812932646152291
